Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Área do conhecimento CNPq,Tipos de acesso,Tipo de documento,Assuntos em português,Assuntos em inglês,Idioma,Resumo,Link de acesso,Identificador persistente ARK,Resumo em Português,Resumo em Inglês,Referência Bibliográfica
"Gonsales, Priscila",http://lattes.cnpq.br/1465118068563440,"Kaufman, Dora||Não informado pela instituição",http://lattes.cnpq.br/8045171889826285||Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Inteligência artificial, educação e pensamento complexo: caminhos para religação de saberes",2022,Pontifícia Universidade Católica de São Paulo (PUC-SP),PUC_SP,Brasil,Faculdade de Ciências Exatas e Tecnologia,Programa de Estudos Pós-Graduados em Tecnologias da Inteligência e Design Digital,CNPQ::ENGENHARIAS,openAccess,masterThesis,Educação||Complexidade||Inteligência artificial||Big data||Transdisciplinaridade,Education||Complexity||Artificial intelligence||Big data||Transdisciplinary,por,"The advances in artificial intelligence (AI) applications based on data processing (Big Data) have brought a new context to digital culture or cyberculture. Increasingly present in our daily lives, AI is a technology that makes use of statistical probability models that work from correlations and identification of patterns in data. In education, AI has often been pointed out as a source for improving teaching from a merely utilitarian and tool viewpoint, that is, solely for the customization of the content transmission and monitoring/evaluation of apprehension of such content. However, AI has a multidimensional character, involving benefits and risks, as well as social, economic, legal, and environmental impacts that are practically unknown by educators and managers. This research highlights the need for a transdisciplinary vision for AI in education, as a field of knowledge and its various implications, based on Edgar Morin's complex thinking. A framework launched in 2020 by a group of researchers from the European Commission (BIDARRA et al., 2020) organizes in three aspects the interface between AI and education, highlighting the need to go beyond the use in content teaching: 1) learning with AI (study of AI applications aimed at teaching); 2) learning about AI (understanding the functioning of AI aimed at professional education for AI developers); 3) learning for AI (understanding the impacts of AI on society, ethical issues such as fake news, privacy, and security). Through the analysis of documents, publications and recent studies (2018-2021), the research addresses the urgency of institutional management policies, teacher training and educational governance that promote the reform of thinking for the reconnection of knowledge (MORIN, 2011b), considering principles of complexity such as dialogic, circularity, the ""ecology of action"" in order to promote an ecosystemic view of the current context of technology and, consequently, of a world in constant transformation",https://repositorio.pucsp.br/jspui/handle/handle/26498,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Gonsales, Priscila. Inteligência artificial, educação e pensamento complexo: caminhos para religação de saberes. 2022. Dissertação (Mestrado em Tecnologias da Inteligência e Design Digital) - Programa de Estudos Pós-Graduados em Tecnologias da Inteligência e Design Digital da Pontifícia Universidade Católica de São Paulo, São Paulo, 2022."
"Nazari, Everson",http://lattes.cnpq.br/0313232203885981,"Mattar Neto, João Augusto||Não informado pela instituição",http://lattes.cnpq.br/9511610526352732||Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Competências de Inteligência Artificial de docentes no Ensino Superior de Design,2024,Pontifícia Universidade Católica de São Paulo (PUC-SP),PUC_SP,Brasil,Faculdade de Ciências Exatas e Tecnologia,Programa de Pós-Graduação em Tecnologias da Inteligência e Design Digital,CNPQ::ENGENHARIAS,openAccess,masterThesis,Educação||Design||Inteligência artificial||Competências de IA,Education||Design||Artificial intelligence||AI competencies,por,"In an educational landscape increasingly permeated by technological innovation, adaptability and the capacity for innovation have become imperatives for educational institutions, specifically in design, where creativity and technology intertwine. The present study emerged amidst this context of transformation and uncertainties provoked by the emergence of Artificial Intelligence (AI) in the sector. The research investigated AI competencies among higher education design instructors, aiming to understand their level of preparedness, the challenges faced, and the opportunities available. For this purpose, a questionnaire was developed, structured based on theoretical frameworks such as DigComp Edu (EU) and the AI Guide for Education and Research (UNESCO), with the assistance of generative AI in its creation and development. The AI collaboration encompassed the selection and proposal of AI competencies, the definition of the questionnaire structure, the formulation and revision of questions, and the evaluation and feedback of the collected data. The questionnaire was applied with a national scope. However, the results were concentrated in Brazil's South and Southeast regions. There was a predominance of basic AI competencies, with 52% of educators at the beginner level and 44% at the intermediate level, highlighting the need for continuous professional development in this area. The analysis of the collected data revealed that, although educators recognize the importance of AI in design education, there are still significant challenges to overcome, including the need for robust technical training and the development of critical thinking concerning these technologies",https://repositorio.pucsp.br/jspui/handle/handle/42876,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Nazari, Everson. Competências de Inteligência Artificial de docentes no Ensino Superior de Design. 2024. Dissertação (Mestrado em Tecnologias da Inteligência e Design Digital) - Programa de Pós-Graduação em Tecnologias da Inteligência e Design Digital da Pontifícia Universidade Católica de São Paulo, São Paulo, 2024."
"Sayad, Alexandre Le Voci",Não informado pela instituição,"Kaufman, Dora||Não informado pela instituição",http://lattes.cnpq.br/8045171889826285||Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Inteligência artificial e seu impacto no desenvolvimento do pensamento crítico,2022,Pontifícia Universidade Católica de São Paulo (PUC-SP),PUC_SP,Brasil,Faculdade de Ciências Exatas e Tecnologia,Programa de Estudos Pós-Graduados em Tecnologias da Inteligência e Design Digital,CNPQ::ENGENHARIAS,openAccess,masterThesis,Inteligência artificial||Ética||Pensamento crítico||AMI||Educação,Artificial intelligence||Ethics||Critical thinking||MIL||Education,por,"Artificial intelligence (ai) is a multidisciplinary field of knowledge that may seem invisible to human perception, but its consequences are not. its technical advances are already impacting life in society at an unprecedented speed - which is why it now occupies a relevant role in the debate on public policies around the world. the everyday application of deep learning, a technique of the ai machine learning, walks a fine line between practicality and benefits for users, such as how predictive decision-making, and its ethical impacts, related to privacy, bias in results, propagation of prejudices, opacity of the algorithm's operation, among others. as a new mediation (kaufman, 2020), ai systems mediate socialization and communication between human beings and the world around them. in this sense, this research aims to evaluate the impact of artificial intelligence on the formation of so-called critical thinking. this, in turn, has its conceptual limits extended in the universe of public and private education, being used many times as a marketing concept. therefore, in search of accuracy, the research revisits the epistemology of critical thinking from selected essays by theodor adorno and max horkheimer (1989), and the scholars who followed them such as john mcpeck (1981), in addition to, later, evidencing its entry as a pillar of the democratic school by through john dewey (1953). in parallel, the research carried out focuses on the historical review of the birth principles of ai functioning through john mccarthy (2005), kai fu-lee (2019), stuart russell and peter norvig (2009) among others. by analyzing the ethical impacts caused by ai (kaufman, 2019, 2022; villani, 2019; pariser, 2011) in various fields, especially in education (fadel et al., 2020), the research presents how ai actually transforms what we know as critical thinking in five chosen aspects, from its epistemology in comparison to others such as the neomaterialists (lemos, 2016, 2020; kaufman, 2020), to elements that make up its basic principles, such as intellectual autonomy and citizenship",https://repositorio.pucsp.br/jspui/handle/handle/29620,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Sayad, Alexandre Le Voci. Inteligência artificial e seu impacto no desenvolvimento do pensamento crítico. 2022. Dissertação (Mestrado em Tecnologias da Inteligência e Design Digital) - Programa de Estudos Pós-Graduados em Tecnologias da Inteligência e Design Digital da Pontifícia Universidade Católica de São Paulo, São Paulo, 2022."
"Tavares, Luís Antônio, 1987-",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Uma plataforma educacional autoral para mapas mentais interativos,2022,Universidade Estadual de Campinas (UNICAMP),UNICAMP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Educação - Tecnologia||Plataforma digital||Inteligência artificial||Education and technology||Digital platform||Artificial intelligence,Não informado pela instituição,por,Orientador: Sérgio Ferreira do Amaral,"https://hdl.handle.net/20.500.12733/6932||TAVARES, Luís Antônio. Uma plataforma educacional autoral para mapas mentais interativos. 2022. 1 recurso online (155 p.) Tese (doutorado) - Universidade Estadual de Campinas, Faculdade de Educação, Campinas, SP. Disponível em: 20.500.12733/6932. Acesso em: 29 set. 2025.",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Tolfo, Pablo Henrique",Não informado pela instituição,"Rosa, Maurício||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Cognomatizet: educação matemática crítica e educação midiática na identificação/compreensão de fake news,2025,Universidade Federal do Rio Grande do Sul (UFRGS),UFRGS,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Educação Matemática||Formação de professores||Inteligência artificial||Argumentação,Mathematics education||Teacher education||Card games||Artificial intelligence||Argumentation,por,"Esta pesquisa objetiva investigar as experiências com card games 2 de reconhecimento de informações, produzidos com Inteligência Artificial (IA), baseados no Dixit3 e vivenciados por docentes para educarem(-se) pela(s) matemática(s), quanto à identificação/compreensão dessas informações como factuais ou fakes. A ideia desse card game foi a de analisar informações postadas na internet de forma a usar a argumentação para esta análise. Nosso estudo, então, envolveu o card game denominado Cognomatizet (desenvolvido pelo pesquisador) a partir do significado em latim de “ele reconhece e matematiza” e a construção de outras versões e cartas desse jogo por parte das/des/dos4 participantes, explorando principalmente mecanismos da IA. Com ele, houve o desenvolvimento de uma formação continuada com docentes de matemática, por meio de um curso de extensão, o qual buscou promover a experimentação e construção desses card games com base em uma perspectiva crítica-midiática por parte das/des/dos docentes participantes. Nesse contexto, tomamos como base teórica a Cyberformação, a Educação Matemática Crítica, a Educação Midiática e as expressões conceituais de Argumentação e Prova. Investigamos, então, as experiências nessa formação, a qual oportunizou a mobilização de vivências e reflexões quanto ao ambiente tecnológico de IA, assim como, com as mídias em que nos inserimos. Com a pesquisa, então, interrogamos: como as experiências com a construção de Cognomatizet(s) se mostram à formação com professoras/professories/professores de matemática em termos de identificação/compreensão de informações factuais ou fakes, tomando por base argumentação? Esta pesquisa se fundamenta em uma base fenomenológica para compreender o ser no mundo, com foco na investigação do processo de formação com as/es/os docentes de matemática e com as tecnologias digitais de forma simbiótica. Assim, nossa análise de dados envolve ouvir, refletir e pensar com as/es/os participantes durante o processo formativo, com os dados coletados pelas gravações, transcrições e produções durante os encontros síncronos e assíncronos do processo formativo ofertado. Dessa forma, como resultados, emergiram dos dados três eixos analíticos, sendo: o 1º eixo, Carta Coringa: com a articulação crítica da/de/do docente de forma dedutiva ou indutiva, no qual as experiências vislumbram o papel docente por meio da “Carta Coringa”, ou seja, com a articulação crítica da/de/do docente atento ao ponto de equilíbrio, de forma a não induzir o pensamento da/de/do discente revelando todo o processo do raciocínio, mas, também não estando completamente omisso ao processo argumentativo com base em pensamentos indutivos e dedutivos, em que em ambos os casos, pode se esvaziar os dados e a argumentação não acontecer; o 2º eixo, identificação de blefes: com a experiência estética com a IA, nos remete à experiência estética com a Inteligência Artificial, na qual as/es/os docentes identificam e compreendem elementos expostos em cada criação de imagem com IA, com a reflexão e reconhecimento das informações factuais ou fakes de forma estética; e o 3º eixo, o ""advogado do diabo” do “e se”: jogando com o modo crítico da dúvida, com a discussão de questões pertinentes a um modo crítico de pensar, pelo qual a postura de “advogado do diabo” – de testar ideias, fortalecer argumentações pela indução ou dedução e explorar todas as perspectivas possíveis de uma determinada informação – se mostra durante as jogadas do Cognomatizet.",http://hdl.handle.net/10183/292307,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Melo, Michele Carolina de Jesus",https://lattes.cnpq.br/5298382685357500,"Toassa, Gisele||Não informado pela instituição",http://lattes.cnpq.br/3606800477592959||Não informado pela instituição,"Toassa, Gisele||Chaves, Juliana de Castro||Maia, Ari Fernando||Souza, André Barcellos Carlos de||Não informado pela instituição",Não informado pela instituição,Inteligência artificial e racionalidade instrumental: implicações do ChatGPT nos processos educativos,2025,Universidade Federal de Goiás (UFG),UFG,Brasil,Faculdade de Educação - FE (RMG),Programa de Pós-graduação em Educação (FE),CIENCIAS HUMANAS::EDUCACAO,openAccess,masterThesis,Racionalidade instrumental||Pseudoformação||Inteligência artificial||ChatGPT,Instrumental rationality||Pseudo-formation||Artificial intelligence,por,"This master’s research, developed in the Graduate Program in Education at the Federal University of Goiás (PPGE/UFG) and situated within the research line of Educational Process Fundamentals, focuses on analyzing the growing use of artificial intelligence, particularly ChatGPT, in educational processes. The main objective of the study is to analyze the implications of using ChatGPT as a mediator in knowledge production and its consequences for the constitution of individuals. The study also aims to analyze the connections between the development of the tool and instrumental rationality, which is objectively produced by the capitalist mode of production, as well as the updates of pseudo-formative processes in contemporary society. Therefore, this research involves the analysis of a subject supported by the theoretical foundations of Critical Social Theory. The main references are Adorno (1959/2010), Adorno and Horkheimer (1947/1985), Horkheimer (1947/2015), and Marx (1867/2023). The fact that ChatGPT has developed and gained popularity as the primary ""solution"" to knowledge production needs, within the range of tools based on artificial intelligence development, is something that deserves further exploration and a more detailed view. This is because the tool appropriates intellectual labor historically produced and presents this ""knowledge"" as ready-to-use information to individuals, under the illusion of authorship. In this process, there is a predominance of intellectual economy among the users of the tool, implying an ephemeral experience with strictly pragmatic meaning. Thus, this research object problematizes the already announced disharmony between the development of artificial intelligence and the principles of humanization. From the study conducted, it was possible to observe some emerging trends in this particular historical moment, updated through the relationship of individuals with ChatGPT. Among them are: the expropriation of authorship, as the production generated by the tool is done by an intelligence that is not the user's own, depriving the individual of creativity, autonomy, and therefore authorship; the existence of a productivity-driven logic, intrinsic to capitalist rationality, which imposes constant pressure on individuals to optimize their time and increase productivity, constituting them to relentlessly seek immediate results at the expense of process and reflection; the abandonment of developing certain human capacities, such as concentration and focus; the decline in reading ability; as well as an intensification of the process of capital valorization and the deepening of labor devaluation due to the advent of generative artificial intelligence. To analyze the reconfiguration of the world of work through AI, this research draws on the Marxian category of machinery, questioning whether this category is still explanatory of reality. Thus, the main contribution of the research is to reveal that ChatGPT is produced within the logic of instrumental rationality and, when used as a mediating tool for knowledge production, contributes to the (de)formation of individuals, reaffirming reification and dehumanization as a historical trend.",http://repositorio.bc.ufg.br/tede/handle/tede/14150,ark:/38995/001300000g0rd,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Carvalho, Ana Carolina Bueno de [UNESP]",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,A produção de vídeos de músicas matemáticas por professores e licenciandos com o uso de inteligência artificial,2024,Universidade Estadual Paulista (UNESP),UNESP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Tecnologias Digitais||Inteligência Artificial||Educação Matemática||Artificial Intelligence||Mathematics Education||Digital Technologies,Não informado pela instituição,por,"A Inteligência Artificial (IA) vem dominando todas as esferas da vida humana e com a Educação Matemática não é diferente. Os estudos sobre IA na Educação ainda estão em fase inicial e isso reflete o quanto é necessária a investigação nessa temática. Existem diversos pontos positivos e negativos que podem ser explorados, assim como em relação ao uso de vídeos na Educação Matemática. Para ter efeito na sala de aula e colaborar com o ensino de Matemática no geral, ambas as temáticas podem ser atreladas à Formação de Professores. Dessarte, esta pesquisa qualitativa é um estudo de caso que busca compreender e investigar a produção de vídeos de músicas matemáticas por licenciandos e professores de Matemática envolvendo o uso de aplicativos de Inteligência Artificial. Nessa perspectiva, a pergunta norteadora para este trabalho é: como professores e futuros professores de Matemática produzem vídeos com a Inteligência Artificial? A produção dos dados foi feita por meio de uma Oficina realizada pela pesquisadora e orientador, com o título “Produção Audiovisual e Musical em Educação Matemática”, com carga horária de 40 horas e com atividades síncronas via Google Meet e assíncronas por meio do Google Classroom. A Oficina foi ofertada para residentes do Programa Residência Pedagógica, egressos deste programa e professores de Matemática, por meio do preenchimento de um formulário de interesse. Os encontros foram gravados. Além disso, foram produzidos poemas individuais e em grupo com a participação do ChatGPT, aplicativo de IA que foi projetado para oferecer suporte, responder perguntas e auxiliar em diversas tarefas. Para compor os dados analisados, foram produzidos três videoletras (vídeo de músicas matemáticas que possui sua letra sendo transmitida simultaneamente na tela) em grupo, utilizando imagens geradas pelos aplicativos Canva e Leonardo.AI, que também são fundamentados em IA. A Oficina contou com 10 participantes. A análise dos dados em texto foi realizada segundo um modelo analítico que inclui leitura integral, releitura, identificação da ideia central, comparação de ideias, organização por relevância, interpretação e crítica com conclusões. Já os videoletras foram analisados segundo uma adaptação de outro modelo que indica a observação, descrição dos dados de vídeo, identificação de eventos críticos, transcrição, codificação, construção do enredo, composição da narrativa. Por meio da análise dos dados, foi possível inferir que o ChatGPT revela altas habilidades em produção de poemas e que o coletivo pensante formado entre os professores-com-ChatGPT, na perspectiva de Seres-Humanos-Com-Mídias, resultou em poemas educacionais matematicamente precisos e pedagogicamente eficazes. Já com relação às imagens produzidas por IA, o uso pedagógico não foi possível visto a qualidade do material. De forma geral, a interação entre os professores e a IA demonstrou como a tecnologia pode transformar práticas pedagógicas, oferecendo novas formas de abordar e ensinar conteúdos complexos por meio do pensar-com-IA.","CARVALHO, Ana Carolina Bueno de. A produção de vídeos de músicas matemáticas por professores e licenciandos com o uso de inteligência artificial. 2024. Dissertação (Mestrado em Ensino e Processos Formativos) – Universidade Estadual Paulista (Unesp), Instituto de Biociências Letras e Ciências Exatas (Ibilce), São José do Rio Preto, 2024.||https://hdl.handle.net/11449/257995||33004153078P4",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Matos, Lidiene Costa da Silva",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Inteligência artificial & educação online na escola pública: possibilidades e alcances,2022,Universidade Federal de Uberlândia (UFU),UFU,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Inteligência Artificial||Matemática||Modelagem/Projetos||TDIC||Artificial Intelligence||Mathematics||Modeling/ Projects||TDIC||CNPQ::OUTROS||Ciência - Estudo e ensino||Inteligência artificial - Aplicações educacionais||Métodos de modelagem||Educação e tecnologia,Não informado pela instituição,por,"This research took place in the context of ""Online Education in a period of pandemic"", to assist students in academic needs in the discipline of Mathematics. Pandemic that prompted me to want to know: How to develop project work on artificial intelligence in public schools in the context of online education? Faced with this situation, online education was the only way to reach students with information to aid in learning and protect health and life. Thus, this research aims to understand how the work of projects on Artificial Intelligence was implemented, in the remote modality, with high school students. The methodology adopted was qualitative research to value the process and not the result, in relation to the objectives, the participant research stood out, in relation to the procedures, participant observation was chosen and for the analysis of the results, data triangulation was used. . In the results and in the discussions, the work with projects brought an approach in the perspective of the digital culture, in which the students are able to socialize with each other, to interact in the areas of knowledge and to share information in the virtual learning environments; from the perspective of transmedia narrative, finding support from the convergence of TDICs, using digital technological resources provided by the internet; Regarding student engagement, this was manifested in the proactiveness of following the webquest learning path and the Artificial Intelligence project in the development of the educational practice of teaching function and algebra. It is concluded that students were encouraged to develop skills and abilities in curricular contents, through mathematical modeling with projects, modifying the social and academic context.","MATOS, Lidiene Costa da Silva. Inteligência artificial & educação online na escola pública: possibilidades e alcances. 2022.176 f. Dissertação (Mestrado Profissional em Ciências e Matemática) - Universidade Federal de Uberlândia, Uberlândia, 2022. DOI http://doi.org/10.14393/ufu.di.2022.164.||https://repositorio.ufu.br/handle/123456789/34600||http://doi.org/10.14393/ufu.di.2022.164",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Gorini, Claudia Correia",Não informado pela instituição,"Rego, Sergio Tavares de Almeida||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Ensinar na era tecnológica: educação médica, big data, inteligência artificial e aspectos éticos",2024,Fundação Oswaldo Cruz (FIOCRUZ),FIOCRUZ,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Não informado pela instituição,Não informado pela instituição,por,"A tecnologia veio para permitir mais facilitar a realização de atividades cotidianas e liberar tempo para criação, tempo para pensar. Ter conexão com micro e macroambientes passou a ser imprescindível. Diante da era digital tecnológica, adaptação urgente às novas formas de comunicação e convivência passou a ser necessária para sobrevivência das sociedades. Destarte, nada mais importante que adequar o ensino e a educação em saúde às novas tecnologias disponíveis. Este estudo destina-se a conhecer o estado da arte sobre Big Data, Inteligência Artificial e seus impactos na educação médica. Esta tese é um estudo qualitativo, baseado em revisão integrativa como metodologia, permitindo identificar o conhecimento atual sobre o tema Big Data e saúde, com enfoque na educação médica e nas questões éticas pertinentes. Como parte exploratória, foi feito levantamento bibliográfico sobe os tópicos: Big Data, educação médica, inovações tecnológicas, ensino a distância, estratégias pedagógicas, e bioética. Foram encontrados 76 artigos com referências ao uso do Big Data no ensino de graduação em Medicina, agrupados em três categorias: Big Data para avaliação do ensino e melhoria dos cursos, Big Data e afins como atividade curricular no ensino médico, e Big Data nestes dois campos (avaliação do ensino e atividade curricular) Apenas 46 artigos faziam referência a questões éticas. Dentre estes artigos, n=8 pertenciam à primeira categoria, n=27 à segunda e n=12 ao terceiro grupo. Em sua maioria referiram-se à privacidade e ao respeito aos direitos individuais ou coletivos. Uma vez que o Big Data e as tecnologias a ele atreladas (Inteligência Artificial, Aprendizado de Máquina, Deep Learning, Chat Generative Pre-Treated Transformer) se fazem cada vez mais presentes na educação médica, trazer a abordagem dos princípios da bioética na graduação médica logo que é iniciado o curso de medicina pode resultar em melhor preparação do profissional médico para refletir e lidar com problemas éticos e morais.",https://arca.fiocruz.br/handle/icict/65014,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"GORINI, Claudia Correia. Ensinar na era tecnológica: educação médica, big data, inteligência artificial e aspectos éticos. 2024. 128 f. Tese (Doutorado em Bioética, Ética Aplicada e Saúde Coletiva) - Escola Nacional de Saúde Pública Sergio Arouca, Fundação Oswaldo Cruz, Rio de Janeiro, 2024."
Lucas Viana Quites,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Visão computacional orientando técnica microcirúrgica em simulador ex-vivo,2020,Universidade Federal de Minas Gerais (UFMG),UFMG,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,microcirurgia||cirurgia cerebrovascular||visão computacional||inteligência artificial||treinamento neurocirúrgico||educação neurocirúrgica||educação em neurocirurgia||treinamento em laboratório||Microcirurgia||Inteligência Artificial||Treinamento com Simulação de alta Fidelidade||Neurocirurgia,Não informado pela instituição,por,"1 Abstract 1.1 Background Mastering cerebrovascular microsurgical techniques requires intensive training, with hours spent into a laboratory. Ability learning and maintenance generally demand a supervisor to improve, and one is not always available, specially outside of an operating room setting. Using a software coach and a placenta could help a neurosurgeon in training to improve his abilities. 1.2 Methods: Five volunteer medical doctors with different levels of microsurgical expertize performed vessel dissection and micro-suture simulation in an ex-vivo model. Procedures were video recorded with color labeled instruments for computer analyzes of time, number of right and left hand movements, suture symmetry, vessel stenosis and leakage. Proficiency index software was suggested, in a self-challenge and self-coaching manner. 1.3 Results Proficiency index of microsurgical education (PRIME) pilot results were individually based in an intra-user analysis of performance. No statistical significance was found. 1.4 Conclusion PRIME could offer the capability of constant automated laboratory microsurgical practice under guidance, opening a new window of oriented training without a human tutor in a practical and feasible manner. Prospective, large data study is needed to confirm this hypothesis. Keywords: microsurgery, cerebrovascular surgery, computer vision, artificial intelligence, neurosurgical training, neurosurgical education, laboratory training",http://hdl.handle.net/1843/35254,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Carvalho, Rita de Cássia Junqueira de",Não informado pela instituição,"Almeida, Caroline Medeiros Martins de||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,O CHATGPT como recurso nos processos de ensino e aprendizagem: sob a ótica de professores e alunos de uma Rede de Educação Básica Privada,2024,Universidade do Vale do Rio dos Sinos (UNISINOS),UNISINOS,Brasil,Escola de Humanidades,Programa de Pós-Graduação em Gestão Educacional,ACCNPQ::Ciências Humanas::Educação,openAccess,masterThesis,CHATGPT na educação||Práticas pedagógicas inovadoras||Inteligência artificial,ChatGPT in Education||Innovative pedagogical practices||Artificial Intelligence,por,"Esta pesquisa tem como objetivo geral verificar como ocorre o uso do ChatGPT na Educação Básica a partir das percepções de alunos e professores, do Colégio Loyola, uma escola privada em Belo Horizonte. O referencial teórico, aborda os seguintes tópicos: inteligência artificial, a educação no século XXI, a inteligência artificial na educação, o ChatGPT, o papel do professor e a gestão nas práticas pedagógicas inovadoras. A pesquisa, que combina abordagens qualitativas e quantitativas, utilizou o questionário como instrumento de coleta de dados, e como participantes envolveu alunos do 7º ano do Ensino Fundamental II e seus professores. A pesquisa revela que o ChatGPT pode ser uma ferramenta útil para auxiliar na aprendizagem e no ensino de diversos assuntos, fornecendo respostas rápidas e facilitando a compilação de ideias. No entanto, também aponta desafios, como a necessidade de regulamentações éticas e a preocupação com o possível atrofiamento da inteligência dos alunos devido à dependência excessiva da Inteligência Artificial. O estudo conclui que, embora o ChatGPT tenha um grande potencial como recurso educacional, é essencial que seu uso seja crítico e consciente. A ferramenta deve ser integrada de maneira a complementar o ensino tradicional, promovendo a reflexão e o pensamento crítico entre os alunos. Esta dissertação pode contribuir para a compreensão de como tecnologias emergentes como o ChatGPT podem ser aplicadas na educação básica, oferecendo insights valiosos para educadores e formuladores de políticas educacionais.",http://repositorio.jesuita.org.br/handle/UNISINOS/13392,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Serra Neto, Paulo Rodrigues do Souto",Não informado pela instituição,"Migueles, Carmen Pires||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Inteligência artificial na educação: mediando competências no Colégio Núcleo, em Recife-PE",2023,Fundação Getulio Vargas (FGV),FGV,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Inteligência artificial na educação||Competência textual||Tecnologias educacionais||Aprendizado adaptativo,Não informado pela instituição,por,"Objetivo- O objetivo deste estudo é analisar, na perspectiva dos colaboradores de uma entidade de educação básica, como a implementação de uma plataforma de análise textual mediada por inteligência artificial tem contribuído para o desenvolvimento das habilidades de leitura e escrita em estudantes. Metodologia – A metodologia adota uma abordagem qualitativa, de natureza descritiva e exploratória, com um estudo de caso realizado no Colégio Núcleo, no município de Recife, estado de Pernambuco. A proposta é complementar a abordagem tradicional de ensino, oferecendo novas perspectivas nas habilidades textuais. Resultados – Os resultados destacam o papel crucial dos sistemas de tutoria inteligente e chatbots educacionais na melhoria da interação aluno-professor e no fornecimento de feedback individualizado. Contribuições práticas – Por fim, enfatiza-se a aceleração na análise textual pela IA ressaltando a importância da orientação do professor e da ética na utilização da tecnologia. Conclui-se que a integração da IA na análise textual pode trazer melhorias na competência escrita dos alunos, fortalecendo o papel estratégico do professor na promoção de uma educação mais significativa e envolvente.",https://hdl.handle.net/10438/34913,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
